,timestamp,value,second,IsolationForest_Anomaly,KMean_Cluster,KMean_Anomaly,DBSCAN_Anomaly
0,2014-05-14 01:14:00,85.835,1400030040,-1,4,0,-1
1,2014-05-14 01:19:00,88.167,1400030340,-1,4,0,-1
2,2014-05-14 01:24:00,44.595,1400030640,1,1,0,1
3,2014-05-14 01:29:00,56.282,1400030940,1,1,0,1
4,2014-05-14 01:34:00,36.534,1400031240,1,1,0,1
5,2014-05-14 01:39:00,36.894,1400031540,1,1,0,1
6,2014-05-14 01:44:00,36.807,1400031840,1,1,0,1
7,2014-05-14 01:49:00,36.76300000000001,1400032140,1,1,0,1
8,2014-05-14 01:54:00,36.167,1400032440,1,1,0,1
9,2014-05-14 01:59:00,38.992,1400032740,1,1,0,1
10,2014-05-14 02:04:00,49.724,1400033040,1,1,0,1
11,2014-05-14 02:09:00,39.939,1400033340,1,1,0,1
12,2014-05-14 02:14:00,37.058,1400033640,1,1,0,1
13,2014-05-14 02:19:00,36.119,1400033940,1,1,0,1
14,2014-05-14 02:24:00,36.339,1400034240,1,1,0,1
15,2014-05-14 02:29:00,37.39,1400034540,1,1,0,1
16,2014-05-14 02:34:00,36.156,1400034840,1,1,0,1
17,2014-05-14 02:39:00,36.59,1400035140,1,1,0,1
18,2014-05-14 02:44:00,36.624,1400035440,1,1,0,1
19,2014-05-14 02:49:00,35.89,1400035740,1,1,0,1
20,2014-05-14 02:54:00,36.398,1400036040,1,1,0,1
21,2014-05-14 02:59:00,40.294,1400036340,1,1,0,1
22,2014-05-14 03:04:00,49.725,1400036640,1,1,0,1
23,2014-05-14 03:09:00,37.274,1400036940,1,1,0,1
24,2014-05-14 03:14:00,46.506,1400037240,1,1,0,1
25,2014-05-14 03:19:00,38.674,1400037540,1,1,0,1
26,2014-05-14 03:24:00,36.715,1400037840,1,1,0,1
27,2014-05-14 03:29:00,50.673,1400038140,1,1,0,1
28,2014-05-14 03:34:00,38.114,1400038440,1,1,0,1
29,2014-05-14 03:39:00,36.561,1400038740,1,1,0,1
30,2014-05-14 03:44:00,40.321,1400039040,1,1,0,1
31,2014-05-14 03:49:00,37.425,1400039340,1,1,0,1
32,2014-05-14 03:54:00,34.767,1400039640,1,1,0,1
33,2014-05-14 03:59:00,37.408,1400039940,1,1,0,1
34,2014-05-14 04:04:00,71.10600000000002,1400040240,-1,4,0,-1
35,2014-05-14 04:09:00,33.43,1400040540,1,1,0,1
36,2014-05-14 04:14:00,33.501999999999995,1400040840,1,1,0,1
37,2014-05-14 04:19:00,31.879,1400041140,1,1,0,1
38,2014-05-14 04:24:00,31.615,1400041440,1,1,0,1
39,2014-05-14 04:29:00,33.388000000000005,1400041740,1,1,0,1
40,2014-05-14 04:34:00,32.013000000000005,1400042040,1,1,0,1
41,2014-05-14 04:39:00,32.003,1400042340,1,1,0,1
42,2014-05-14 04:44:00,32.01,1400042640,1,1,0,1
